,title,price,comment
0,歐德萊 折疊懶人桌TA-14折疊桌 和室桌 小桌子 書桌 筆電桌 懶人桌 電腦桌 床上摺疊桌 床上桌 桌子 小邊桌,$99,跟賣家敘还完全一樣。包裝的很完整。下次有 機會 再跟賣家購買 ，賣家出貨速度很快，正是我要的貨物與貨品等。商品質量很好，物超所值。值得信賴的好賣家呦
1,歐德萊 折疊懶人桌TA-14折疊桌 和室桌 小桌子 書桌 筆電桌 懶人桌 電腦桌 床上摺疊桌 床上桌 桌子 小邊桌,$99,出貨速度很快，雖然在外箱上有很多破損但並沒有傷到裡面的商品，也不知道是什麼原因造成的，希望以後購買的時候能改善，下面沒有卡扣，導致如果是左右晃動大一點可能會像影片中倒塌，使用上要注意，但以Cp值來說算很棒了！
2,歐德萊 折疊懶人桌TA-14折疊桌 和室桌 小桌子 書桌 筆電桌 懶人桌 電腦桌 床上摺疊桌 床上桌 桌子 小邊桌,$99,出貨很快，包裝完整，收到時紙箱有點破損，但是商品本身完好無損，商品品質良好、全新，近乎完美。購物節看到有特賣就買買看，沒想到這麼便宜還能有良好的品質，感謝賣家
3,歐德萊 折疊懶人桌TA-14折疊桌 和室桌 小桌子 書桌 筆電桌 懶人桌 電腦桌 床上摺疊桌 床上桌 桌子 小邊桌,$99,"perfect the way it is, even tho its cheap, doesnt reduce its quality!"
4,歐德萊 折疊懶人桌TA-14折疊桌 和室桌 小桌子 書桌 筆電桌 懶人桌 電腦桌 床上摺疊桌 床上桌 桌子 小邊桌,$99,"效能: 100
品質: 100
和圖片相符: 非常符合
本來很怕這麼便宜的東西會有瑕疵，但完好無損，很好用～"
5,歐德萊 折疊懶人桌TA-14折疊桌 和室桌 小桌子 書桌 筆電桌 懶人桌 電腦桌 床上摺疊桌 床上桌 桌子 小邊桌,$99,服務態度真的超級超級好！！出貨速度快，而且東西真的好便宜！折疊桌真的很讚欸️這價格cp值整個爆表，而且品質滿穩定的，衣架真的好好用，多設計的掛勾真的超適合我這種包色購物狂的！同色系的衣服就可以這樣掛在一起不佔空間，然後鏡子這麼便宜還這麼大片很可以了啦～總之我認真大推這間️️還不快買爆？！
6,隙縫地板清潔刷小麥購物C101地板刷 掃把 長柄刷 刮板刷 刮水 清潔 打掃 刷子 縫隙刷 打掃 浴室 廁所清潔,$69,好快就收到商品了，好高興， 商品比想像好，雖然價格低廉，可是品質並不差，已經回購幾次了，下次有需要，還會再回購
7,隙縫地板清潔刷小麥購物C101地板刷 掃把 長柄刷 刮板刷 刮水 清潔 打掃 刷子 縫隙刷 打掃 浴室 廁所清潔,$69,上次刷洗浴室沒有長柄刷，只能拿馬桶刷，一直記在心中，剛好有看到又做成縫隙刷的，就給他買下去啦。
8,隙縫地板清潔刷小麥購物C101地板刷 掃把 長柄刷 刮板刷 刮水 清潔 打掃 刷子 縫隙刷 打掃 浴室 廁所清潔,$69,看起來功效不錯 但實際沒有使用 因為收到就一堆生鏽 客服立即回應並退款 不怪賣家 因為大批進貨不可能一個一個檢查 只能怪對岸工廠 這種貨也敢交出來 詐騙台灣人的錢
9,隙縫地板清潔刷小麥購物C101地板刷 掃把 長柄刷 刮板刷 刮水 清潔 打掃 刷子 縫隙刷 打掃 浴室 廁所清潔,$69,"效能: 可
品質: 可
收到貨，箱子很完整，物品很整齊，無損壞，但……不曉得使用後，是否能耐受好，就試試再說唷！謝謝"
10,隙縫地板清潔刷小麥購物C101地板刷 掃把 長柄刷 刮板刷 刮水 清潔 打掃 刷子 縫隙刷 打掃 浴室 廁所清潔,$69,"效能: 很好的設計，可以直接把牆角髒污黃垢刷洗乾淨
品質: 毛刷很硬
回購數次，值得信賴的商家"
11,隙縫地板清潔刷小麥購物C101地板刷 掃把 長柄刷 刮板刷 刮水 清潔 打掃 刷子 縫隙刷 打掃 浴室 廁所清潔,$69,"好組裝整體很輕盈，不笨重，這下浴室角落也能洗乾淨了，感謝賣家的用心。

但管子材質偏軟不夠耐用，使用上要注意～"
